taxon,level,genus,family,order,phylum
Mobiluncus,genus,Mobiluncus,Actinomycetaceae,Actinomycetales,Actinobacteria
Moryella,genus,Moryella,Lachnospiraceae,Clostridiales,Firmicutes
Murdochiella,genus,Murdochiella,Other,Clostridiales,Firmicutes
Mycoplasma,genus,Mycoplasma,Mycoplasmataceae,Mycoplasmatales,Tenericutes
Olsenella,genus,Olsenella,Coriobacteriaceae,Coriobacteriales,Actinobacteria
Other_Bacteria,Bacteria,Other,Other,Other,Other
Paraprevotella,genus,Paraprevotella,Prevotellaceae,Bacteroidales,Bacteroidetes
Parvimonas,genus,Parvimonas,Other,Clostridiales,Firmicutes
Peptococcus,genus,Peptococcus,Peptococcaceae,Clostridiales,Firmicutes
Peptoniphilus,genus,Peptoniphilus,Other,Clostridiales,Firmicutes
Peptostreptococcus,genus,Peptostreptococcus,Clostridiaceae,Clostridiales,Firmicutes
Porphyromonadaceae,family,Other,Porphyromonadaceae,Bacteroidales,Bacteroidetes
Porphyromonas,genus,Porphyromonas,Porphyromonadaceae,Bacteroidales,Bacteroidetes
Prevotella,genus,Prevotella,Prevotellaceae,Bacteroidales,Bacteroidetes
Propionimicrobium,genus,Propionimicrobium,Propionibacteriaceae,Actinomycetales,Actinobacteria
Pyramidobacter,genus,Pyramidobacter,Synergistaceae,Synergistales,Synergistetes
Ruminococcaceae,family,Other,Ruminococcaceae,Clostridiales,Firmicutes
Saccharofermentans,genus,Saccharofermentans,Clostridiaceae,Clostridiales,Firmicutes
Segniliparus,genus,Segniliparus,Segniliparaceae,Actinomycetales,Actinobacteria
Sneathia,genus,Sneathia,Leptotrichiaceae,Fusobacteriales,Fusobacteria
Staphylococcus,genus,Staphylococcus,Staphylococcaceae,Bacillales,Firmicutes
Streptococcus_agalactiae,species,Streptococcus,Streptococcaceae,Lactobacillales,Firmicutes
Streptococcus_anginosis,species,Streptococcus,Streptococcaceae,Lactobacillales,Firmicutes
Streptococcus_Other,genus,Streptococcus,Streptococcaceae,Lactobacillales,Firmicutes
TM7_genera_incertae_sedis,genus,TM7_genera_incertae_sedis,Other,Other,Other
Ureaplasma,genus,Ureaplasma,Mycoplasmataceae,Mycoplasmatales,Tenericutes
Varibaculum,genus,Varibaculum,Actinomycetaceae,Actinomycetales,Actinobacteria
Veillonella,genus,Veillonella,Veillonellaceae,Selenomonadales,Firmicutes
Veillonellaceae,family,Other,Veillonellaceae,Selenomonadales,Firmicutes
